run_id,run_order,true_regime,d_decision_0,d_decision_1,d_decision_2,c_ambient_temp,c_context_cat_0,c_context_cat_1,f_strong_linear_0,f_strong_linear_1,f_strong_linear_2,f_moderate_linear_0,f_moderate_linear_1,f_nonlinear_0,f_nonlinear_1,f_proxy_0,f_proxy_1,f_proxy_2,f_noise_0,f_noise_1,f_noise_2,f_noise_3,f_noise_4,f_noise_5,f_noise_6,t_yield,t_quality
r0000,0,0,0.5479120971119267,0.6525838483887156,0.557992709156258,22.37348544231601,A,A,,-1.8919462533119105,,-0.08485053166200977,0.228770028928938,-0.19076046033454871,0.19242111776818133,1.1029700510902294,1.1364496884008861,0.7896031770496138,-0.35469730295967755,1.8930488854225436,,0.009173248182129144,0.11912392936627762,0.24264427132386202,-1.9168158717650765,-4.841578149259518,-2.5180233856348795
r0001,1,0,-0.12224312049589536,0.7923215436795334,-0.7308955831737058,19.344566746561366,C,B,1.461178866720329,-1.958591440397031,-0.3644382522644612,-1.6002058490434774,0.9674662729250108,-0.1627989966326071,1.1320522884141782,-0.06080272839661749,-0.0889231402765247,,-2.4392496385726155,0.6823925098127926,0.3654873450385047,-0.11626664531036575,0.31799869441404743,0.5566166656775543,-1.131986440076961,-0.13210283792459787,-3.5650065852291792
r0002,2,0,0.7171958398227649,-0.7195018220027785,0.0721360718952746,10.845470870762348,B,A,0.2825869829192965,-0.012319292929311235,-2.180210064489474,-0.7619744583102578,0.2929338234972916,2.0959987502254394,-2.3442978937886774,,-1.3571450082899554,-1.301526090737617,0.5044446476624683,-0.0700128588128004,1.5657795312032543,1.8421506585682637,,-0.04268309622747663,,-5.934425914962767,-3.6347319728342473
r0003,3,0,0.3947360581187278,0.1080722870780988,0.02844574038082892,24.641484957842422,C,A,0.7673172404612268,-0.2209673177863541,0.03605992679779541,0.14862709530283086,-1.588897564178725,-1.4571379129195563,1.5904522979160232,-0.0945004246058721,0.2267926466217709,0.38445146912090017,,,0.5086595430180988,1.924496037012573,,0.4128913952224006,,3.8977756825273397,2.531660406292667
r0004,4,0,-0.8116453042247009,-0.7828485177291129,0.7151442882451151,16.974996435956346,B,B,-1.1401609191262305,-0.1034201135746335,-0.00463297222434532,0.3662095977839374,-0.12380929432965958,-0.3906776025991957,,-0.8615634857596963,-1.7682334478350685,-0.46567191609196745,0.042631024437746814,,-1.7734145388096807,-1.6643563933302008,-0.6100988660571137,-0.7261444026863596,-0.7663153496157056,-1.929853329336917,-0.971206025036081
r0005,5,0,0.9512447032735118,0.3444801860796234,-0.07440126881296827,17.330498808132226,C,A,-1.1195358752705262,-0.02798245653021798,,0.41747195874201454,,1.7058526805445642,1.0778433557451819,1.6820836064022122,1.1878178656295104,1.5455421228366149,-0.08670470084212364,-0.5419834002261925,0.4539956314469589,2.4939270057279894,2.2996640696148387,0.3697059256391301,-0.3997200562897638,9.046217804133235,3.31037677895419
r0006,6,0,0.5222794039807059,-0.43753243232198336,-0.22982100779929304,14.65123794355155,A,B,0.4478137167227104,0.22555983951018072,1.1876343927211208,-1.3204889841570373,-1.8779887659659078,0.44997834134654807,-1.2198757448415216,,0.9313738999738133,0.9547192619724116,-0.2737039958177683,1.1482564245159883,1.2328637433090093,-0.9152257211533239,-0.08973076991161853,,1.7436218672915653,1.3004534841722823,2.7494548525694347
r0007,7,0,0.5721286105539076,0.31884526938380353,0.2791265424742202,16.728583616562222,A,A,0.05827433093544655,0.9476496098482997,0.20277504825236733,,-1.074766013817714,0.5633130735164247,-0.8307698816053357,-0.025638597068064095,0.21155665730645928,,,0.542195285724256,-0.2215961699981027,0.9806732943274258,1.5452321516965593,-0.6696814280722031,0.768603765496369,8.481393071749638,8.44522576360411
r0008,8,0,-0.7437727346489083,0.4539892285737652,-0.46707336499830787,22.139452203474587,B,A,,-1.1111049009175582,-0.5003610773968998,-0.8002116966018503,0.87654360408152,0.11458443702387822,0.14593829414477413,,-2.7824781381672503,-2.8224478954082346,-1.5328648783527072,,0.9956348061178324,0.9704979808637308,,0.05183209899284673,-0.5571705270530996,-7.520314682977042,-6.039632743180021
r0009,9,0,-0.09922812420886573,0.537294983835314,-0.7204631780920863,19.053778295317972,C,B,-0.18767099092845213,,0.48516111254573785,0.6328579146073064,0.27009543419728654,,-0.017037889337463016,,-0.9358815635091101,-0.5085671446270306,,0.14551480533559535,,,0.25928764153490796,-0.6236025096293596,,-1.7202466428838203,-1.9668699385140225
r0010,10,0,-0.25840395153483753,-0.7845181080882069,-0.0442454519525084,21.643310011412407,C,C,0.278143726454627,-1.0933238578873825,-0.5279176373243135,-0.010638676618193147,,0.777609530278536,0.2830685880099896,0.2827313961619461,0.994483299208014,0.4107171976198813,0.6840379131173813,,-1.4855391595222738,0.493267793839099,,,-0.7405158205011196,-3.0525699967015703,-0.22051915457951077
r0011,11,0,0.8535299776972036,0.8320236902752158,-0.16622126281022997,21.80960926964422,B,B,0.15811908490510918,0.2889166671687069,-0.001392651443348899,-1.3763874990779479,1.8594948076233115,-0.8094863188927663,1.0845151609299661,1.69415242312866,,0.8997004702825632,-0.6140847753443682,1.0456401202092658,0.14116901883264016,-0.10753374426606396,-0.44707259186786463,,1.0090998037340055,8.88291554332188,9.719015512804773
r0012,12,0,0.2877302401613291,-0.5395720182102384,-0.5348601189422526,26.603308277640835,B,C,0.7777673890849254,1.2449473786464456,0.9861363169607678,,0.4685527785062026,0.8780585789081998,-1.7652203153028492,1.0991813896370504,1.0805840753879512,1.0974401351271657,-1.6088067092699718,-0.8653428321018342,-1.7564767207463141,0.5543300046323907,0.21053467078924676,1.2657749251665555,-1.3588772459230156,10.946136483794286,4.534942529989492
r0013,13,0,0.64552322654166,-0.9251748876476404,-0.264976379769744,18.286069245678103,B,B,0.8070082819444706,-0.4313394382395105,,0.3653637420637676,0.6578880104331793,-1.3730030168855392,0.9738190717173091,-1.9405933241554816,-1.7324058962387432,-1.619070726254672,,-1.6219251268302093,-0.23977101289359176,0.2306723023806257,1.5860038309598667,1.0656851747200478,1.0732578317891572,-0.932342366945867,-1.6517703189265789
